program_id,category,location,date_aired,speaker_name,speaker_party,speaker_state,speaker_office,determiner,det_cat,head_noun,noun_cat
306989-1,House Proceeding,"Washington, District of Columbia, United States",Tue Jul 10 00:00:00 2012,"Marcia ""Marcy"" Kaptur",D,Ohio,U.S. Representative,NULL,NULL,republicans,NNS
306989-1,House Proceeding,"Washington, District of Columbia, United States",Tue Jul 10 00:00:00 2012,"Marcia ""Marcy"" Kaptur",D,Ohio,U.S. Representative,NULL,NULL,republicans,NNPS
306989-1,House Proceeding,"Washington, District of Columbia, United States",Tue Jul 10 00:00:00 2012,"Marcia ""Marcy"" Kaptur",D,Ohio,U.S. Representative,NULL,NULL,republicans,NNPS
306989-1,House Proceeding,"Washington, District of Columbia, United States",Tue Jul 10 00:00:00 2012,"Marcia ""Marcy"" Kaptur",D,Ohio,U.S. Representative,the,DT,republicans,NNPS
306989-1,House Proceeding,"Washington, District of Columbia, United States",Tue Jul 10 00:00:00 2012,"Marcia ""Marcy"" Kaptur",D,Ohio,U.S. Representative,the,DT,republicans,NNPS
306989-1,House Proceeding,"Washington, District of Columbia, United States",Tue Jul 10 00:00:00 2012,"Marcia ""Marcy"" Kaptur",D,Ohio,U.S. Representative,the,DT,republican,JJ
306989-1,House Proceeding,"Washington, District of Columbia, United States",Tue Jul 10 00:00:00 2012,"Marcia ""Marcy"" Kaptur",D,Ohio,U.S. Representative,the,DT,republican,NNP
303000-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  5 00:00:00 2011,"Addison ""Joe"" Graves Wilson",R,South Carolina,U.S. Representative,NULL,NULL,republicans,NNPS
182562-1,House Proceeding,"Washington, District of Columbia, United States",Tue Jul  6 00:00:00 2004,Candice Miller,R,Michigan,U.S. Representative,NULL,NULL,republican,JJ
181696-1,House Proceeding,"Washington, District of Columbia, United States",Wed May  5 00:00:00 2004,Dana Rohrabacher,R,California,U.S. Representative,the,DT,democrats,NNPS
182180-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun  9 00:00:00 2004,Juanita McDonald,D,California,U.S. Representative,NULL,NULL,republican,JJ
182180-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun  9 00:00:00 2004,Juanita McDonald,D,California,U.S. Representative,a,DT,republican,JJ
182180-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun  9 00:00:00 2004,Juanita McDonald,D,California,U.S. Representative,the,DT,republican,NNP
181817-1,House Proceeding,"Washington, District of Columbia, United States",Wed May 12 00:00:00 2004,Jay Inslee,D,Washington,U.S. Representative,NULL,NULL,republicans,NNPS
181817-1,House Proceeding,"Washington, District of Columbia, United States",Wed May 12 00:00:00 2004,Jay Inslee,D,Washington,U.S. Representative,NULL,NULL,democrats,NNPS
182074-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun  2 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,NULL,NULL,democrats,NNS
182074-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun  2 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,NULL,NULL,democrats,NNPS
182074-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun  2 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,NULL,NULL,republicans,NNPS
182074-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun  2 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,the,DT,democrats,NNPS
181927-1,House Proceeding,"Washington, District of Columbia, United States",Thu May 20 00:00:00 2004,Sheila Jackson Lee,D,Texas,U.S. Representative,NULL,NULL,democrats,NNPS
181927-1,House Proceeding,"Washington, District of Columbia, United States",Thu May 20 00:00:00 2004,Sheila Jackson Lee,D,Texas,U.S. Representative,NULL,NULL,republicans,NNPS
181927-1,House Proceeding,"Washington, District of Columbia, United States",Thu May 20 00:00:00 2004,Sheila Jackson Lee,D,Texas,U.S. Representative,NULL,NULL,republicans,NNPS
181927-1,House Proceeding,"Washington, District of Columbia, United States",Thu May 20 00:00:00 2004,Sheila Jackson Lee,D,Texas,U.S. Representative,NULL,NULL,democrats,NNS
181927-1,House Proceeding,"Washington, District of Columbia, United States",Thu May 20 00:00:00 2004,Sheila Jackson Lee,D,Texas,U.S. Representative,NULL,NULL,republicans,NNPS
181927-1,House Proceeding,"Washington, District of Columbia, United States",Thu May 20 00:00:00 2004,Sheila Jackson Lee,D,Texas,U.S. Representative,NULL,NULL,democrats,NNPS
181927-1,House Proceeding,"Washington, District of Columbia, United States",Thu May 20 00:00:00 2004,Sheila Jackson Lee,D,Texas,U.S. Representative,the,DT,democrats,NNPS
181927-1,House Proceeding,"Washington, District of Columbia, United States",Thu May 20 00:00:00 2004,Sheila Jackson Lee,D,Texas,U.S. Representative,the,DT,democrats,NNPS
181927-1,House Proceeding,"Washington, District of Columbia, United States",Thu May 20 00:00:00 2004,Sheila Jackson Lee,D,Texas,U.S. Representative,NULL,NULL,democrats,NNPS
181927-1,House Proceeding,"Washington, District of Columbia, United States",Thu May 20 00:00:00 2004,Sheila Jackson Lee,D,Texas,U.S. Representative,NULL,NULL,republicans,NNPS
181913-1,House Proceeding,"Washington, District of Columbia, United States",Wed May 19 00:00:00 2004,Duncan Lee Hunter,R,California,U.S. Representative,NULL,NULL,republicans,NNPS
181913-1,House Proceeding,"Washington, District of Columbia, United States",Wed May 19 00:00:00 2004,Duncan Lee Hunter,R,California,U.S. Representative,NULL,NULL,democrats,NNPS
181913-1,House Proceeding,"Washington, District of Columbia, United States",Wed May 19 00:00:00 2004,Duncan Lee Hunter,R,California,U.S. Representative,the,DT,democrat,NNP
182391-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun 23 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,NULL,NULL,republican,NNP
182391-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun 23 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,NULL,NULL,republicans,NNS
182391-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun 23 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,NULL,NULL,democrats,NNS
182391-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun 23 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,NULL,NULL,democrats,NNPS
182391-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun 23 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,NULL,NULL,republican,JJ
182391-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun 23 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,NULL,NULL,republican,JJ
182391-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jun 23 00:00:00 2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,NULL,NULL,republicans,NNPS
