program_id,category,location,date_aired,speaker_name,speaker_party,speaker_state,speaker_office,syntactic_category,determiner,data_point
306989-1,House Proceeding,"Washington, District of Columbia, United States",7;10;2012,"Marcia ""Marcy"" Kaptur",D,Ohio,U.S. Representative,DT,the,republicans
306989-1,House Proceeding,"Washington, District of Columbia, United States",7;10;2012,"Marcia ""Marcy"" Kaptur",D,Ohio,U.S. Representative,DT,the,republicans
306989-1,House Proceeding,"Washington, District of Columbia, United States",7;10;2012,"Marcia ""Marcy"" Kaptur",D,Ohio,U.S. Representative,DT,the,republican
181696-1,House Proceeding,"Washington, District of Columbia, United States",5;5;2004,Dana Rohrabacher,R,California,U.S. Representative,DT,the,democrats
182180-1,House Proceeding,"Washington, District of Columbia, United States",6;9;2004,Juanita McDonald,D,California,U.S. Representative,DT,a,republican
182180-1,House Proceeding,"Washington, District of Columbia, United States",6;9;2004,Juanita McDonald,D,California,U.S. Representative,DT,the,republican
182074-1,House Proceeding,"Washington, District of Columbia, United States",6;2;2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,DT,the,democrats
181927-1,House Proceeding,"Washington, District of Columbia, United States",5;20;2004,Sheila Jackson Lee,D,Texas,U.S. Representative,DT,the,democrats
181927-1,House Proceeding,"Washington, District of Columbia, United States",5;20;2004,Sheila Jackson Lee,D,Texas,U.S. Representative,DT,the,democrats
181913-1,House Proceeding,"Washington, District of Columbia, United States",5;19;2004,Duncan Lee Hunter,R,California,U.S. Representative,DT,the,democrat
182391-1,House Proceeding,"Washington, District of Columbia, United States",6;23;2004,"F. ""James"" James Jr. Sensenbrenner",R,Wisconsin,U.S. Representative,DT,the,republican
182416-1,House Proceeding,"Washington, District of Columbia, United States",6;24;2004,James Nussle,R,Iowa,U.S. Representative,DT,this,democrat
182416-1,House Proceeding,"Washington, District of Columbia, United States",6;24;2004,James Nussle,R,Iowa,U.S. Representative,DT,the,democrat
182416-1,House Proceeding,"Washington, District of Columbia, United States",6;24;2004,James Nussle,R,Iowa,U.S. Representative,DT,the,democrat
182416-1,House Proceeding,"Washington, District of Columbia, United States",6;24;2004,James Nussle,R,Iowa,U.S. Representative,DT,the,republicans
182416-1,House Proceeding,"Washington, District of Columbia, United States",6;24;2004,James Nussle,R,Iowa,U.S. Representative,DT,this,republican
303309-1,House Proceeding,"Washington, District of Columbia, United States",12;20;2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,DT,the,republicans
303309-1,House Proceeding,"Washington, District of Columbia, United States",12;20;2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,DT,the,republicans
303309-1,House Proceeding,"Washington, District of Columbia, United States",12;20;2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,DT,the,republicans
181559-1,House Proceeding,"Washington, District of Columbia, United States",4;28;2004,James L. Oberstar,D,Minnesota,U.S. Representative,DT,the,republican
181559-1,House Proceeding,"Washington, District of Columbia, United States",4;28;2004,James L. Oberstar,D,Minnesota,U.S. Representative,DT,a,republican
181559-1,House Proceeding,"Washington, District of Columbia, United States",4;28;2004,James L. Oberstar,D,Minnesota,U.S. Representative,DT,a,republican
181036-1,House Proceeding,"Washington, District of Columbia, United States",3;23;2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,republican
181036-1,House Proceeding,"Washington, District of Columbia, United States",3;23;2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,republican
181036-1,House Proceeding,"Washington, District of Columbia, United States",3;23;2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,republican
181036-1,House Proceeding,"Washington, District of Columbia, United States",3;23;2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,democrat
303030-1,House Proceeding,"Washington, District of Columbia, United States",12;6;2011,"Gerald ""Gerry"" E. Connolly",D,Virginia,U.S. Representative,DT,the,republican
303030-1,House Proceeding,"Washington, District of Columbia, United States",12;6;2011,"Gerald ""Gerry"" E. Connolly",D,Virginia,U.S. Representative,DT,the,republican
303030-1,House Proceeding,"Washington, District of Columbia, United States",12;6;2011,"Gerald ""Gerry"" E. Connolly",D,Virginia,U.S. Representative,DT,these,republican
180997-1,House Proceeding,"Washington, District of Columbia, United States",3;17;2004,David Dreier,R,California,U.S. Representative,DT,the,republican
182437-1,House Proceeding,"Washington, District of Columbia, United States",6;25;2004,David Dreier,R,California,U.S. Representative,DT,the,democrats
180902-2,House Proceeding,"Washington, District of Columbia, United States",3;10;2004,Peter A. DeFazio,D,Oregon,U.S. Representative,DT,the,republican
180916-1,House Proceeding,"Washington, District of Columbia, United States",3;11;2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrats
180916-1,House Proceeding,"Washington, District of Columbia, United States",3;11;2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrats
180916-1,House Proceeding,"Washington, District of Columbia, United States",3;11;2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,a,republican
180916-1,House Proceeding,"Washington, District of Columbia, United States",3;11;2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrat
180916-1,House Proceeding,"Washington, District of Columbia, United States",3;11;2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrats
180916-1,House Proceeding,"Washington, District of Columbia, United States",3;11;2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrats
180916-1,House Proceeding,"Washington, District of Columbia, United States",3;11;2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrats
303158-2,House Proceeding,"Washington, District of Columbia, United States",12;13;2011,David Dreier,R,California,U.S. Representative,DT,both,democrats
303158-2,House Proceeding,"Washington, District of Columbia, United States",12;13;2011,David Dreier,R,California,U.S. Representative,DT,both,democrats
303158-2,House Proceeding,"Washington, District of Columbia, United States",12;13;2011,David Dreier,R,California,U.S. Representative,DT,the,republican
303158-2,House Proceeding,"Washington, District of Columbia, United States",12;13;2011,David Dreier,R,California,U.S. Representative,DT,the,democrats
303158-2,House Proceeding,"Washington, District of Columbia, United States",12;13;2011,David Dreier,R,California,U.S. Representative,DT,the,republican
303158-2,House Proceeding,"Washington, District of Columbia, United States",12;13;2011,David Dreier,R,California,U.S. Representative,DT,the,democrats
303158-2,House Proceeding,"Washington, District of Columbia, United States",12;13;2011,David Dreier,R,California,U.S. Representative,DT,the,republican
303158-2,House Proceeding,"Washington, District of Columbia, United States",12;13;2011,David Dreier,R,California,U.S. Representative,DT,the,republican
